Created At,Tweet,TweetLink,RetweetCount,LikeCount,EngagementRate
2022-12-20,b'Union Minister @DrJitendraSingh said that Space Sector in India is emerging as a major foreign exchange earner thro\xe2\x80\xa6 https://t.co/Zqt05oLunI',https://twitter.com/DDNewsLive/status/1605187141960486912,1,16,0.17
2022-12-20,b'298 sports infrastructure projects sanctioned across country under the component \xe2\x80\x9cCreation and Upgradation of Sport\xe2\x80\xa6 https://t.co/fhU1ktn9Ap',https://twitter.com/DDNewsLive/status/1605180919995764736,6,18,0.24
2022-12-20,"b'RT @rashtrapatibhvn: General Anil Chauhan, Chief of Defence Staff and Secretary, Department of Military Affairs along with his wife Smt. An\xe2\x80\xa6'",https://twitter.com/DDNewsLive/status/1605176946174087168,295,0,2.95
2022-12-20,b'Watch our Special Program #NewsNight for the comprehensive analysis of Top National &amp; International Stories with ou\xe2\x80\xa6 https://t.co/LLsERqn0cA',https://twitter.com/DDNewsLive/status/1605172536358027265,3,9,0.12
2022-12-20,"b""As Finance &amp; Health Task Force meets under India's @g20org Presidency, we ask #DrNKArora Chairman #NTAGI &amp;\xe2\x80\xa6 https://t.co/2jN87NTRjd""",https://twitter.com/DDNewsLive/status/1605167654267785218,6,11,0.17
2022-12-20,"b'Vice President, Prime Minister, Lok Sabha Speaker and other dignitaries attend the millet lunch organised by\xe2\x80\xa6 https://t.co/EwIhEe9NPR'",https://twitter.com/DDNewsLive/status/1605161810251784194,6,38,0.44
2022-12-20,"b'In Pictures | PM @narendramodi, Lok Sabha Speaker @ombirlakota &amp; other dignitaries attending the millet luncheon or\xe2\x80\xa6 https://t.co/E4FSl6WCbc'",https://twitter.com/DDNewsLive/status/1605160587968684032,4,112,1.16
2022-12-20,"b'Vice President @jdhankhar1 along with Prime Minister, @narendramodi, Lok Sabha Speaker @ombirlakota &amp; other dignita\xe2\x80\xa6 https://t.co/bvG7M70KSV'",https://twitter.com/DDNewsLive/status/1605158644726628352,6,56,0.62
2022-12-20,"b'RT @narendramodi: As we prepare to mark 2023 as the International Year of Millets, attended a sumptuous lunch in Parliament where millet di\xe2\x80\xa6'",https://twitter.com/DDNewsLive/status/1605158339473653760,1740,0,17.4
2022-12-20,"b'The 5th submarine of Project\xe2\x80\x9375 #Vagir, delivered to #IndianNavy on #20Dec 22.\n\nBuilt indigenously at\xe2\x80\xa6 https://t.co/LOw1CiVvhr'",https://twitter.com/DDNewsLive/status/1605157472041373696,6,34,0.4
2022-12-20,"b'Gaali, Apman, Mohabbat wali Congress ki dukaan ! \n\nWatch #5KiPanchayat with @rheemaparashar on DD News https://t.co/gwjU9rBHg8'",https://twitter.com/DDNewsLive/status/1605155862049218560,5,20,0.25
2022-12-20,b'Our correspondent speaks with Union Agriculture Minister Narendra Singh Tomar on the exhibition of millets in\xe2\x80\xa6 https://t.co/mot60uBlAZ',https://twitter.com/DDNewsLive/status/1605155592007401472,3,12,0.15
2022-12-20,b'@BSF_India The mortal remains of Naik (Retd)  Bhairon Singh #thelongewalahero  left STC BSF Jodhpur at 0915 hrs for\xe2\x80\xa6 https://t.co/wNF4yzXZjI',https://twitter.com/DDNewsLive/status/1605151011324039168,2,38,0.4
2022-12-20,b'Rajya Sabha Chairman @jdhankhar1 nominates legendary former athlete and MP #PTUsha to panel of Vice chairpersons in\xe2\x80\xa6 https://t.co/2IlC72ZZSs',https://twitter.com/DDNewsLive/status/1605149453333118976,7,44,0.51
2022-12-20,b'The 17th G20 Heads of State and Government Summit took place on 15-16 November 2022 in Bali. \n\nDo you really know w\xe2\x80\xa6 https://t.co/h59V5LMHfA',https://twitter.com/DDNewsLive/status/1605143887546159104,2,20,0.22
2022-12-20,"b'@nsitharaman ...of which ED has seized assets worth Rs 33,862.20 crore, out of which 15113.02 crore property has be\xe2\x80\xa6 https://t.co/8fhbwG90rb'",https://twitter.com/DDNewsLive/status/1605130114684968960,15,48,0.63
2022-12-20,"b'@nsitharaman The details of the property are as follows. Vijay Mallya, Nirav Modi, Mehul Choksi, Nitin Jayantilal S\xe2\x80\xa6 https://t.co/z45qp2dnwK'",https://twitter.com/DDNewsLive/status/1605129774371770368,5,26,0.31
2022-12-20,"b'Responding to a written question in the #LokSabha, the Finance Ministry @nsitharaman has said that since 2014, agen\xe2\x80\xa6 https://t.co/NgU44HRP6F'",https://twitter.com/DDNewsLive/status/1605129559761752064,4,40,0.44
2022-12-20,b'Google Chief Executive Officer @sundarpichai meets with External Affairs Minister @DrSJaishankar \n\nThey discussed o\xe2\x80\xa6 https://t.co/HJpbRCjgPR',https://twitter.com/DDNewsLive/status/1605127783834734592,14,92,1.06
2022-12-20,"b'#G20India | The G20 process from the Sherpa side is coordinated by the Sherpas of member countries, who are persona\xe2\x80\xa6 https://t.co/ARb9umDxwU'",https://twitter.com/DDNewsLive/status/1605115788364369920,2,16,0.18
