Created At,Tweet,TweetLink,RetweetCount,LikeCount,EngagementRate
2022-12-20,"b""The 2023 IBA Women's World Championships will be held from March 15 to 31 in New Delhi""",https://twitter.com/PTI_News/status/1605198447367585793,2,21,0.23
2022-12-20,"b'Centre asks all states, UTs to increase genome sequencing of Covid-positive samples amid rise in cases in China, Japan, US: Official'",https://twitter.com/PTI_News/status/1605197189374177282,10,37,0.47
2022-12-20,b'Sebi chief Madhabi Puri Buch says stock exchange route for share buyback vulnerable to\nfavouritism; prefers tender offer route',https://twitter.com/PTI_News/status/1605176045614690304,5,54,0.59
2022-12-20,b'Sebi to reduce time taken for registration of FPIs to facilitate ease of doing business',https://twitter.com/PTI_News/status/1605172771545153536,3,41,0.44
2022-12-20,"b""Markets regulator Sebi to amend norms to facilitate sustainable finance, curb 'greenwashing'""",https://twitter.com/PTI_News/status/1605172695301500929,5,44,0.49
2022-12-20,b'Sebi board decides to gradually phase out share buyback through stock exchange route',https://twitter.com/PTI_News/status/1605171261185101825,2,50,0.52
2022-12-20,b'Sebi board approves measures to boost governance at stock exchanges and other market infrastructure institutions',https://twitter.com/PTI_News/status/1605170757193326592,6,49,0.55
2022-12-20,b'#ICC gives below average rating to #Gabba pitch after Australia wins first Test against South Africa by six wickets inside two days',https://twitter.com/PTI_News/status/1605166395628523520,4,68,0.72
2022-12-20,"b'Office of Ukrainian President Volodymyr Zelenskyy says he has visited the besieged city of Bakhmut, reports AP'",https://twitter.com/PTI_News/status/1605160017971511296,1,42,0.43
2022-12-20,b'Rupee falls 13 paise to close at 82.75 (provisional) against US dollar',https://twitter.com/PTI_News/status/1605145080884367360,15,98,1.13
2022-12-20,"b'Sensex declines 103.90 points to end at 61,702.29; Nifty dips 35.15 points to 18,385.30'",https://twitter.com/PTI_News/status/1605144158712528896,2,59,0.61
2022-12-20,b'Rohit Sharma ruled out of second Test against Bangladesh as he is yet to recover from thumb injury',https://twitter.com/PTI_News/status/1605112271721488385,9,196,2.05
2022-12-20,b'Decision to end Winter Session of Parliament early was taken at meeting of Business Advisory Committee of Lok Sabha: Sources',https://twitter.com/PTI_News/status/1605108160007532544,8,202,2.1
2022-12-20,"b'Winter Session of Parliament likely to conclude on December 23, a week ahead of schedule: Sources'",https://twitter.com/PTI_News/status/1605106817775697929,13,189,2.02
2022-12-20,b'Instructions issued to officials to run special 10-day anti-open burning campaign in national capital starting Tues\xe2\x80\xa6 https://t.co/7RJO0MBDBT',https://twitter.com/PTI_News/status/1605098928927432704,5,74,0.79
2022-12-20,"b'Every state govt issues advertisements in other states, why only target us? BJP using all tactics to trouble people of Delhi: AAP'",https://twitter.com/PTI_News/status/1605097922114203649,10,163,1.73
2022-12-20,"b'Delhi LG has no power to pass such orders, no value in eyes of law: AAP on direction to pay Rs 97 crore for political advertisements'",https://twitter.com/PTI_News/status/1605097587467374594,15,195,2.1
2022-12-20,b'Lok Sabha adjourned till 11:30 am amid protests by ruling and Opposition members on various issues',https://twitter.com/PTI_News/status/1605080386702147584,5,125,1.3
2022-12-20,"b'India records 112 new COVID-19 cases, infection tally rises to 4,46,76,199. Death toll stands at 5,30,677, count of\xe2\x80\xa6 https://t.co/gKQ2Tf6Y4m'",https://twitter.com/PTI_News/status/1605071994202263552,15,153,1.68
2022-12-20,b'Three Lashkar-e-Toiba terrorists killed in encounter with security forces in Shopian district of Jammu and Kashmir: Police',https://twitter.com/PTI_News/status/1605070065878986752,12,187,1.99
2022-12-20,"b'Sensex declines 393.68 points to 61,412.51 in early trade; Nifty dips 123.1 points to 18,297.35'",https://twitter.com/PTI_News/status/1605053452106625025,6,67,0.73
2022-12-20,b'Rupee falls 11 paise to 82.73 against US dollar in early trade',https://twitter.com/PTI_News/status/1605049510169694208,24,272,2.96
2022-12-19,"b'Jan 6 panel unveils criminal referral against Donald Trump and associates, citing evidence for their prosecution, reports AP'",https://twitter.com/PTI_News/status/1604925500790833152,5,56,0.61
2022-12-19,b'BJP MP Sushil Modi says govt should come up with legislation to fix same marriage age for women of all religions',https://twitter.com/PTI_News/status/1604908887655583744,15,241,2.56
2022-12-19,b'Nine Sri Lankans arrested from special camp for Tamil refugees in Tamil Nadu for their alleged involvement in illeg\xe2\x80\xa6 https://t.co/GGIzLphr8A',https://twitter.com/PTI_News/status/1604894372193239040,34,260,2.94
2022-12-19,b'Nagaland CM Neiphiu Rio on Naga peace talks: Naga negotiators have returned from New Delhi and no breakthrough is l\xe2\x80\xa6 https://t.co/fZZMj9pPG2',https://twitter.com/PTI_News/status/1604886905719779328,4,104,1.08
2022-12-19,"b'Rs 11,440 crore spent on ambitious Delhi-Meerut RRTS corridor project till November 30: Govt in Rajya Sabha'",https://twitter.com/PTI_News/status/1604870795678740480,10,229,2.39
2022-12-19,"b'BJP MP from Ladakh Jamyang Tsering Namgyal: India-China border is not demarcated. As a result, some issues came up\xe2\x80\xa6 https://t.co/TSBb6KaZSi'",https://twitter.com/PTI_News/status/1604862152430403585,16,192,2.08
2022-12-19,"b'2,285 houses sanctioned for transgenders under Pradhan Mantri Awas Yojana (Urban) so far, govt informs Rajya Sabha'",https://twitter.com/PTI_News/status/1604861183668125697,16,204,2.2
2022-12-19,"b""Concerted efforts by govt have weakened 'ecosystem of terrorism' with pronounced reduction in incidents of violence\xe2\x80\xa6 https://t.co/0yyeF5oMUb""",https://twitter.com/PTI_News/status/1604852587269799936,7,83,0.9
2022-12-19,"b""MHA team studying statehood demand in eastern Nagaland met state CM Neiphiu Rio and senior bureaucrats to know govt's views: Officials""",https://twitter.com/PTI_News/status/1604850406265303040,5,147,1.52
2022-12-19,"b""Centre's air quality panel decides not to invoke curbs under Stage III of anti-air pollution action plan despite si\xe2\x80\xa6 https://t.co/DfsOClmssP""",https://twitter.com/PTI_News/status/1604849231885651974,7,122,1.29
2022-12-19,"b""Dutch Prime Minister Mark Rutte offers formal government apology for the Netherlands' historical role in slavery, reports AP""",https://twitter.com/PTI_News/status/1604847470428594176,11,143,1.54
2022-12-19,b'Thousands of farmers hold rally in New Delhi under RSS-affiliated Bharatiya Kisan Sangh banner to press for rollbac\xe2\x80\xa6 https://t.co/Y0WBJNWX55',https://twitter.com/PTI_News/status/1604835136624676865,26,272,2.98
2022-12-19,"b""Proposed Lokayukta Act in Maharashtra on lines of Centre's Lokpal legislation to be 'revolutionary' tool against co\xe2\x80\xa6 https://t.co/1xXg1IhgJO""",https://twitter.com/PTI_News/status/1604820954726600705,15,276,2.91
2022-12-19,"b""EAM S Jaishankar strongly objects to use of 'pitai' (beating) by former Congress chief Rahul Gandhi while referring\xe2\x80\xa6 https://t.co/DTNrQLapxf""",https://twitter.com/PTI_News/status/1604820922527285248,8,107,1.15
2022-12-19,b'TMC MP Sougata Ray demands inquiry by sitting Calcutta HC judge into death of Bogtui massacre case accused Jahangir Sheikh in CBI custody',https://twitter.com/PTI_News/status/1604809676457414657,2,73,0.75
2022-12-19,"b""Congress leader Rahul Gandhi urges BJP leaders criticising him to 'open up shops to spread love in market of hatred\xe2\x80\xa6 https://t.co/U20stWqPcO""",https://twitter.com/PTI_News/status/1604809550770868224,10,217,2.27
2022-12-19,"b'Nearly 1.15 crore Indians who had never before taken a flight were able to experience air travel via UDAN scheme, U\xe2\x80\xa6 https://t.co/DD4biFEwCE'",https://twitter.com/PTI_News/status/1604809173161500672,27,349,3.76
2022-12-19,"b""I am opening a counter for love in market of hatred: Congress leader Rahul Gandhi on why he is walking in 'Unite India March'""",https://twitter.com/PTI_News/status/1604795867273101313,67,888,9.55
2022-12-19,"b""European Union accuses Meta of breaking antitrust rules, says Facebook's classified ad business distorts competition, reports AP""",https://twitter.com/PTI_News/status/1604794777824030721,5,98,1.03
2022-12-19,"b""Civil Aviation minister Jyotiraditya Scindia tells Rajya Sabha industry has 'crests and troughs' and air ticket pri\xe2\x80\xa6 https://t.co/WCBqctrQrZ""",https://twitter.com/PTI_News/status/1604790162000470017,5,149,1.54
2022-12-19,b'Union minister G Kishan Reddy says there is peace and political stability in northeast since Narendra Modi governme\xe2\x80\xa6 https://t.co/ZoUmaNylrn',https://twitter.com/PTI_News/status/1604789491000315907,3,194,1.97
2022-12-19,b'National Medical Commission warns against use of stem cell therapy for treating autism due to inadequate scientific\xe2\x80\xa6 https://t.co/5Dpzzzufhd',https://twitter.com/PTI_News/status/1604789238955855872,8,84,0.92
2022-12-19,b'Govt says it will take a view on privatisation of public sector banks after consultation with concerned department and regulator',https://twitter.com/PTI_News/status/1604788987641491456,19,322,3.41
2022-12-19,b'Jammu and Kashmir Pradesh Congress Committee chief Vikar Rasool Wani says former chief minister Ghulam Nabi Azad sh\xe2\x80\xa6 https://t.co/9XgqBrA6pF',https://twitter.com/PTI_News/status/1604788786936057856,12,90,1.02
2022-12-19,b'Rupee rises 6 paise to close at 82.69 (provisional) against US dollar',https://twitter.com/PTI_News/status/1604783449750896640,6,133,1.39
2022-12-19,"b'Sensex jumps 468.38 pts to end at 61,806.19; Nifty advances 151.45 points to 18,420.45'",https://twitter.com/PTI_News/status/1604782276000112640,9,83,0.92
2022-12-19,"b'Govt expects Digital Personal Data Protection, Telecommunication bills to get passed in Monsoon session: Telecom Min Ashwini Vaishnaw'",https://twitter.com/PTI_News/status/1604764404968366080,7,160,1.67
2022-12-19,"b'Historic biodiversity agreement reached at UN conference to protect nearly a third of the planet by 2030, reports AP'",https://twitter.com/PTI_News/status/1604759119444922369,6,105,1.11
2022-12-19,"b'There is peace, political stability in North Eastern region since PM Modi-led govt came to power at Centre: Union minister G Kishan Reddy'",https://twitter.com/PTI_News/status/1604750143168729088,11,212,2.23
2022-12-19,b'Opposition parties walk out of Rajya Sabha after Chair rejects demand for discussion on Chinese incursions on border',https://twitter.com/PTI_News/status/1604723290530250752,62,588,6.5
2022-12-19,b'Himachal Pradesh Chief Minister Sukhvinder Singh Sukhu tests positive for coronavirus: Officials',https://twitter.com/PTI_News/status/1604710117391233024,7,390,3.97
2022-12-19,"b""President Droupadi Murmu greets citizens, especially people of Goa on state's liberation day, says nation salutes i\xe2\x80\xa6 https://t.co/KNiYRDUWHG""",https://twitter.com/PTI_News/status/1604697446076264448,7,148,1.55
2022-12-19,b'President Droupadi Murmu greets former president Pratibha Patil on her birthday',https://twitter.com/PTI_News/status/1604696716057251840,5,317,3.22
2022-12-19,b'Opposition Congress in Madhya Pradesh to bring no-confidence motion against Shivraj Singh Chouhan govt during winte\xe2\x80\xa6 https://t.co/pBSrHxf23O',https://twitter.com/PTI_News/status/1604696705177620487,14,209,2.23
2022-12-19,"b'India reports 135 new coronavirus infections as tally rises to 4,46,76,087, active cases increase marginally to 3,559: Health ministry'",https://twitter.com/PTI_News/status/1604694845812940801,18,123,1.41
2022-12-19,"b'Sensex climbs 127.48 points to 61,465.29 in early trade; Nifty advances 37.85 points to 18,306.85'",https://twitter.com/PTI_News/status/1604690397439361025,3,90,0.93
2022-12-19,b'Rupee falls 2 paise to 82.77 against US dollar in early trade',https://twitter.com/PTI_News/status/1604687293369155584,8,294,3.02
2022-12-19,"b'Thai navy says it has rescued 75 sailors and 31 are still in water after warship sinks in the Gulf of Thailand, reports AP'",https://twitter.com/PTI_News/status/1604684021107085317,10,210,2.2
2022-12-18,b'Argentina wins World Cup by beating France 4-2 in penalty shootout in final',https://twitter.com/PTI_News/status/1604540120375312386,26,533,5.59
2022-12-18,"b'3 killed, 10 injured as buses collide on Noida-Greater Noida Expressway: Police'",https://twitter.com/PTI_News/status/1604507816131440648,5,140,1.45
2022-12-18,b'Actor Kangana Ranaut seeks permission from Lok Sabha Secretariat for shooting her upcoming film inside Parliament p\xe2\x80\xa6 https://t.co/gNI0TjSO5m',https://twitter.com/PTI_News/status/1604471905159106560,84,1627,17.11
2022-12-18,b'Cleanliness became mass movement in last 5 years; as a result Tripura emerged as cleanest among small states: PM Modi',https://twitter.com/PTI_News/status/1604439263713824769,12,205,2.17
2022-12-18,b'Thousands of crores of rupees are being spent for connectivity and infrastructure projects in Tripura: PM Modi in Agartala',https://twitter.com/PTI_News/status/1604438263342604288,7,109,1.16
2022-12-18,b'Over 2 lakh poor families are getting own homes today and majority of them are mothers and sisters of Tripura: PM Modi at Agartala',https://twitter.com/PTI_News/status/1604437585887080448,10,113,1.23
2022-12-18,"b""Our focus is on all-round development of Tripura; projects launched today will give fillip to state's growth trajectory: PM Modi in Agartala""",https://twitter.com/PTI_News/status/1604436748364546048,5,72,0.77
2022-12-18,"b""91 suspected cases of measles were detected in parts of Gujarat's Mehsana district in last one month: Health department official""",https://twitter.com/PTI_News/status/1604431649680158720,8,95,1.03
2022-12-18,b'Bihar government appoints senior IPS officer R S Bhatti as new Director General of Police: Official notification',https://twitter.com/PTI_News/status/1604426559372152832,8,174,1.82
2022-12-18,"b'Expansion of Himachal Pradesh cabinet soon, there is no lobbying by MLAs for ministerial berths: CM Sukhvinder Singh Sukhu'",https://twitter.com/PTI_News/status/1604426433597648897,9,124,1.33
2022-12-18,b'Congress govt in Himachal will fulfil promise of restoring old pension scheme in first cabinet meet: CM Sukhvinder Singh Sukhu to PTI',https://twitter.com/PTI_News/status/1604424761051779075,18,239,2.57
